"canonical_title_key","representative_title","shelves","catalog_row_count","titles","uris","repository_trace","reading_status"
"organic chemistry lab techniques nichols","Organic Chemistry Lab Techniques (Nichols)","Organic_Chemistry","1","Organic Chemistry Lab Techniques (Nichols)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_Lab_Techniques_(Nichols)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry morsch et al","Organic Chemistry (Morsch et al.)","Organic_Chemistry","1","Organic Chemistry (Morsch et al.)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_(Morsch_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry nomenclature workbook o donnell","Organic Chemistry Nomenclature Workbook (O'Donnell)","Organic_Chemistry","1","Organic Chemistry Nomenclature Workbook (O'Donnell)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_Nomenclature_Workbook_(O'Donnell)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry openstax","Organic Chemistry (OpenStax)","Organic_Chemistry","1","Organic Chemistry (OpenStax)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_(OpenStax)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry part 1 fundamentals malik","Organic Chemistry -Part 1 Fundamentals (Malik)","Organic_Chemistry","1","Organic Chemistry -Part 1 Fundamentals (Malik)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_-Part_1_Fundamentals_(Malik)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry smith","Map: Organic Chemistry (Smith)","Organic_Chemistry","1","Map: Organic Chemistry (Smith)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Map%3A_Organic_Chemistry_(Smith)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry vollhardt and schore","Map: Organic Chemistry (Vollhardt and Schore)","Organic_Chemistry","1","Map: Organic Chemistry (Vollhardt and Schore)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Map%3A_Organic_Chemistry_(Vollhardt_and_Schore)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry wade complete and semesters i and ii","Map: Organic Chemistry (Wade), Complete and Semesters I and II","Organic_Chemistry","1","Map: Organic Chemistry (Wade), Complete and Semesters I and II","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Map%3A_Organic_Chemistry_(Wade)_Complete_and_Semesters_I_and_II","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic chemistry with a biological emphasis soderberg","Organic Chemistry with a Biological Emphasis (Soderberg)","Organic_Chemistry","1","Organic Chemistry with a Biological Emphasis (Soderberg)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Book%3A_Organic_Chemistry_with_a_Biological_Emphasis_v2.0_(Soderberg)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organic synthesis shea","Organic Synthesis (Shea)","Organic_Chemistry","1","Organic Synthesis (Shea)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Synthesis_(Shea)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"organometallic chemistry evans","Organometallic Chemistry (Evans)","Inorganic_Chemistry","1","Organometallic Chemistry (Evans)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Organometallic_Chemistry_(Evans)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"pharmaceutical chemistry of molecular therapeutics de araujo saqib keillor and gunning","Pharmaceutical Chemistry of Molecular Therapeutics (de Araujo, Saqib, Keillor, and Gunning)","Biological_Chemistry","1","Pharmaceutical Chemistry of Molecular Therapeutics (de Araujo, Saqib, Keillor, and Gunning)","https://chem.libretexts.org/Bookshelves/Biological_Chemistry/Pharmaceutical_Chemistry_of_Molecular_Therapeutics_(de_Araujo_Saqib_Keillor_and_Gunning)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"physical chemistry fleming","Physical Chemistry (Fleming)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Physical Chemistry (Fleming)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Physical_Chemistry_(Fleming)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"physical chemistry for the biosciences libretexts","Physical Chemistry for the Biosciences (LibreTexts)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Physical Chemistry for the Biosciences (LibreTexts)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Physical_Chemistry_for_the_Biosciences_(LibreTexts)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"physical chemistry libretext","Physical Chemistry (LibreText)","General_Chemistry;Physical_and_Theoretical_Chemistry_Textbook_Maps","2","Physical Chemistry (LibreText)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Physical_Chemistry_A_Second_Look;https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Physical_Chemistry_(LibreTexts)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"physical methods in chemistry and nano science barron","Physical Methods in Chemistry and Nano Science (Barron)","Analytical_Chemistry","1","Physical Methods in Chemistry and Nano Science (Barron)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Physical_Methods_in_Chemistry_and_Nano_Science_(Barron)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"polymer chemistry schaller","Polymer Chemistry (Schaller)","Organic_Chemistry","1","Polymer Chemistry (Schaller)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Polymer_Chemistry_(Schaller)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"principles of inorganic chemistry ii nocera","Principles of Inorganic Chemistry II (Nocera)","Inorganic_Chemistry","1","Principles of Inorganic Chemistry II (Nocera)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Principles_of_Inorganic_Chemistry_II_(Nocera)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"principles of modern chemistry oxtoby et al","Map: Principles of Modern Chemistry (Oxtoby et al.)","General_Chemistry","1","Map: Principles of Modern Chemistry (Oxtoby et al.)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_Principles_of_Modern_Chemistry_(Oxtoby_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"qualitative analysis of common cations in water malik","Qualitative Analysis of Common Cations in Water (Malik)","Analytical_Chemistry","1","Qualitative Analysis of Common Cations in Water (Malik)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Qualitative_Analysis_of_Common_Cations_in_Water_(Malik)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"quantitative nmr larive and korir","Quantitative NMR (Larive and Korir)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Quantitative NMR (Larive and Korir)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Quantitative_NMR_(Larive_and_Korir)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"quantum chemistry blinder","Quantum Chemistry (Blinder)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Quantum Chemistry (Blinder)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Quantum_Chemistry_(Blinder)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"quantum chemistry with applications in spectroscopy fleming","Quantum Chemistry with Applications in Spectroscopy (Fleming)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Quantum Chemistry with Applications in Spectroscopy (Fleming)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Quantum_Chemistry_with_Applications_in_Spectroscopy_(Fleming)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"quantum mechanics in chemistry simons and nichols","Quantum Mechanics  in Chemistry (Simons and Nichols)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Quantum Mechanics  in Chemistry (Simons and Nichols)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Quantum_Mechanics__in_Chemistry_(Simons_and_Nichols)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"quantum states of atoms and molecules zielinksi et al","Quantum States of Atoms and Molecules (Zielinksi et al.)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Quantum States of Atoms and Molecules (Zielinksi et al.)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Book%3A_Quantum_States_of_Atoms_and_Molecules_(Zielinksi_et_al)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"quantum tutorials rioux","Quantum Tutorials (Rioux)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Quantum Tutorials (Rioux)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Quantum_Tutorials_(Rioux)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"radical reactions of carbohydrates binkley","Radical Reactions of Carbohydrates (Binkley)","Organic_Chemistry","1","Radical Reactions of Carbohydrates (Binkley)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Radical_Reactions_of_Carbohydrates_(Binkley)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"statistical thermodynamics jeschke","Statistical Thermodynamics (Jeschke)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Statistical Thermodynamics (Jeschke)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Statistical_Thermodynamics_(Jeschke)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"structure and properties tro","Map: Structure and Properties (Tro)","General_Chemistry","1","Map: Structure and Properties (Tro)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_Structure_and_Properties_(Tro)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"structure reactivity in organic biological and inorganic chemistry schaller","Structure & Reactivity in Organic, Biological and Inorganic Chemistry (Schaller)","General_Chemistry","1","Structure & Reactivity in Organic, Biological and Inorganic Chemistry (Schaller)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Book%3A_Structure_and_Reactivity_in_Organic_Biological_and_Inorganic_Chemistry_(Schaller)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"surface science nix","Surface Science (Nix)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Surface Science (Nix)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Surface_Science_(Nix)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"symmetry vallance","Symmetry (Vallance)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Symmetry (Vallance)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Symmetry_(Vallance)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"the basics of general organic and biological chemistry ball et al","The Basics of General, Organic, and Biological Chemistry (Ball et al.)","Introductory_Chemistry","1","The Basics of General, Organic, and Biological Chemistry (Ball et al.)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/The_Basics_of_General_Organic_and_Biological_Chemistry_(Ball_et_al.)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"the live textbook of physical chemistry peverati","The Live Textbook of Physical Chemistry (Peverati)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","The Live Textbook of Physical Chemistry (Peverati)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/The_Live_Textbook_of_Physical_Chemistry_(Peverati)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"the necessity of entropy the macroscopic argument the microscopic response and some practical consequences herzfeld","The Necessity of Entropy: The Macroscopic Argument, The Microscopic Response, and Some Practical Consequences (Herzfeld)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","The Necessity of Entropy: The Macroscopic Argument, The Microscopic Response, and Some Practical Consequences (Herzfeld)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/The_Necessity_of_Entropy%3A_The_Macroscopic_Argument_The_Microscopic_Response_and_Some_Practical_Consequences_(Herzfeld)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"the schlenk line survival guide borys","The Schlenk Line Survival Guide (Borys)","Inorganic_Chemistry","1","The Schlenk Line Survival Guide (Borys)","https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/The_Schlenk_Line_Survival_Guide_(Borys)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"the video textbook of general chemistry farmer","The Video Textbook of General Chemistry (Farmer)","General_Chemistry","1","The Video Textbook of General Chemistry (Farmer)","https://chem.libretexts.org/Bookshelves/General_Chemistry/The_Video_Textbook_of_General_Chemistry_(Farmer)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"thermodynamics and chemical equilibrium ellgen","Thermodynamics and Chemical Equilibrium (Ellgen)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Thermodynamics and Chemical Equilibrium (Ellgen)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Thermodynamics_and_Chemical_Equilibrium_(Ellgen)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"thermodynamics and chemistry devoe","Thermodynamics and Chemistry (DeVoe)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Thermodynamics and Chemistry (DeVoe)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/DeVoes_Thermodynamics_and_Chemistry","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"time dependent quantum mechanics and spectroscopy 2025e tokmakoff","Time-Dependent Quantum Mechanics and Spectroscopy 2025e (Tokmakoff)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Time-Dependent Quantum Mechanics and Spectroscopy 2025e (Tokmakoff)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Time-Dependent_Quantum_Mechanics_and_Spectroscopy_2025e_(Tokmakoff)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"topics in thermodynamics of solutions and liquid mixtures","Topics in Thermodynamics of Solutions and Liquid Mixtures","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Topics in Thermodynamics of Solutions and Liquid Mixtures","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Topics_in_Thermodynamics_of_Solutions_and_Liquid_Mixtures","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"toxicology msdt","Toxicology MSDT","Environmental_Chemistry","1","Toxicology MSDT","https://chem.libretexts.org/Bookshelves/Environmental_Chemistry/Toxicology_MSDT","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"understanding organic chemistry through computation boaz and pearce","Understanding Organic Chemistry Through Computation (Boaz and Pearce)","Organic_Chemistry","1","Understanding Organic Chemistry Through Computation (Boaz and Pearce)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Understanding_Organic_Chemistry_Through_Computation_(Boaz_and_Pearce)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"virtual textbook of ochem reusch under construction","Book: Virtual Textbook of OChem (Reusch) UNDER CONSTRUCTION","Organic_Chemistry","1","Book: Virtual Textbook of OChem (Reusch) UNDER CONSTRUCTION","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Book%3A_Virtual_Textbook_of_OChem_(Reusch)_UNDER_CONSTRUCTION","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
